age,income,employment_length,credit_score,credit_history_length,loan_amount,interest_rate,loan_term_months,loan_purpose,monthly_payment,dti_ratio,num_open_accounts,num_delinquencies,credit_utilization,home_ownership,loan_default
47,32627,0,460,26,22976,5.06,84,medical,325.39,32.6,4,1,6.6000000000000005,RENT,1
40,40810,21,850,16,5625,3.0,48,home_improvement,124.51,51.5,5,0,25.3,MORTGAGE,0
49,34254,8,657,28,35807,6.4,48,debt_consolidation,847.51,85.0,5,1,15.299999999999999,MORTGAGE,0
60,52378,10,664,35,9800,14.22,36,home_improvement,335.99,7.7,6,0,9.4,OWN,0
39,100539,5,675,19,62874,13.85,48,debt_consolidation,1713.4,44.3,5,1,34.5,RENT,0
39,30864,1,710,18,47076,6.82,60,major_purchase,928.17,85.0,5,0,53.800000000000004,OTHER,1
60,89365,0,679,37,26237,9.06,36,major_purchase,835.06,25.2,6,0,39.6,MORTGAGE,0
51,30668,9,669,30,6145,12.79,24,home_improvement,291.54,77.1,7,0,9.9,RENT,0
36,29478,2,784,13,11619,9.45,36,debt_consolidation,371.92,85.0,5,0,26.400000000000002,OWN,1
48,80110,1,725,24,9629,13.75,36,debt_consolidation,327.93,17.1,3,1,48.0,RENT,0
36,85234,4,603,13,10511,9.61,48,debt_consolidation,264.62,32.2,8,0,24.4,RENT,0
36,81702,2,739,16,54379,11.93,48,debt_consolidation,1430.14,41.8,1,1,37.4,MORTGAGE,0
44,22259,5,721,25,16206,8.71,60,debt_consolidation,334.13,44.4,2,0,31.6,RENT,0
21,37065,3,636,0,11378,6.86,60,debt_consolidation,224.55,8.4,8,1,15.7,MORTGAGE,1
21,80321,5,743,0,10683,14.66,60,debt_consolidation,252.25,29.6,6,0,18.3,RENT,0
35,50258,9,667,11,12428,3.99,36,major_purchase,366.87,17.8,4,2,31.5,MORTGAGE,0
29,25739,1,662,10,26182,7.6,60,debt_consolidation,525.88,85.0,6,0,23.400000000000002,MORTGAGE,1
45,64536,1,660,25,5773,9.62,48,debt_consolidation,145.37,2.7,9,0,20.4,MORTGAGE,0
31,31924,2,485,13,19316,13.43,48,home_improvement,522.33,70.4,2,4,39.300000000000004,MORTGAGE,1
25,143877,16,637,4,24257,6.48,60,debt_consolidation,474.39,12.6,6,0,27.0,MORTGAGE,0
59,123859,2,737,36,5352,10.51,48,debt_consolidation,137.06,24.3,10,0,44.2,OWN,0
39,70435,2,678,21,6685,4.45,48,auto,152.29,26.5,5,1,64.60000000000001,OWN,0
42,110924,5,577,20,17441,11.76,12,home_improvement,1547.65,34.7,9,1,31.2,OWN,0
24,50964,2,757,6,49448,17.29,60,debt_consolidation,1236.63,51.8,5,0,4.5,MORTGAGE,0
35,77595,15,656,11,41852,3.0,48,debt_consolidation,926.37,31.8,5,0,9.3,MORTGAGE,0
43,118970,11,582,22,11778,7.09,48,education,282.53,22.5,8,2,27.1,MORTGAGE,0
28,56800,3,850,9,48363,13.35,36,debt_consolidation,1637.71,61.2,8,3,9.1,MORTGAGE,0
46,42061,5,595,25,14418,21.77,48,small_business,452.46,31.1,6,0,1.2,OWN,0
34,18000,0,750,11,14332,12.35,24,debt_consolidation,677.0,85.0,5,0,26.400000000000002,RENT,0
38,46635,5,618,17,19260,7.08,36,small_business,595.4,76.4,3,1,33.6,RENT,0
34,80342,6,690,13,32455,9.41,60,major_purchase,680.19,43.8,5,1,16.5,OWN,0
64,86455,2,607,46,11774,5.09,72,medical,190.11,31.9,3,1,6.3,OWN,0
41,66344,1,580,17,13648,13.22,60,debt_consolidation,312.07,24.8,3,1,21.8,RENT,1
29,35426,12,721,10,7527,14.18,84,small_business,141.81,25.0,4,1,13.100000000000001,MORTGAGE,0
51,18000,2,712,32,23056,15.63,60,medical,556.15,67.7,4,2,60.3,RENT,0
27,36419,5,771,4,34659,8.68,60,auto,714.09,36.0,7,0,9.2,RENT,0
44,40839,0,677,26,36179,6.77,48,major_purchase,862.5,60.2,4,5,31.3,OTHER,1
21,40629,2,850,3,6928,15.98,24,debt_consolidation,339.15,81.8,8,0,19.3,RENT,0
26,71049,8,701,8,13793,15.52,36,small_business,481.66,10.6,5,0,33.5,MORTGAGE,0
44,161362,2,725,22,43123,6.05,36,debt_consolidation,1312.86,19.1,8,0,11.600000000000001,RENT,0
50,52792,4,571,28,21216,8.5,48,debt_consolidation,522.94,35.4,4,0,10.6,OWN,0
44,43043,1,630,23,18469,13.16,60,medical,421.74,24.8,9,0,17.599999999999998,RENT,0
40,41959,2,721,17,18167,8.99,60,debt_consolidation,377.03,41.7,9,0,33.0,RENT,0
38,52819,13,673,13,26344,10.13,48,education,669.8,63.2,6,0,6.4,RENT,0
24,29822,4,695,2,22029,4.12,36,debt_consolidation,651.56,82.6,3,0,25.4,RENT,0
33,52686,11,614,9,12054,5.51,24,medical,531.58,50.1,1,0,29.099999999999998,OWN,0
36,64246,11,689,18,33414,9.63,84,medical,548.34,46.9,4,0,13.700000000000001,OWN,0
54,55592,14,689,36,7769,7.2,72,auto,133.2,35.4,6,2,28.199999999999996,RENT,0
46,64506,11,585,28,45500,5.41,36,home_improvement,1372.07,44.2,4,2,38.7,OWN,1
21,63592,0,731,2,9631,8.74,60,home_improvement,198.71,28.6,3,0,49.2,RENT,0
45,18000,13,543,22,26463,6.49,36,education,810.94,85.0,5,1,29.9,OWN,1
37,71834,0,694,13,16069,10.11,36,auto,519.33,30.2,1,1,45.300000000000004,RENT,0
33,32774,0,821,14,12920,13.97,60,major_purchase,300.42,59.7,4,7,38.1,RENT,1
49,25399,0,734,27,46644,8.79,60,debt_consolidation,963.51,85.0,7,2,17.9,RENT,1
54,25268,2,733,30,30334,8.3,48,small_business,744.82,84.5,6,3,18.5,OWN,1
53,63584,4,608,33,17304,14.29,24,medical,833.19,35.2,3,2,75.4,RENT,0
31,42892,2,821,11,61182,12.93,48,debt_consolidation,1639.24,52.6,8,0,9.9,RENT,0
38,18000,0,790,20,35804,13.19,48,debt_consolidation,963.91,85.0,5,0,25.0,MORTGAGE,0
45,65304,3,612,26,10261,3.0,72,major_purchase,155.9,7.8,5,0,12.3,MORTGAGE,0
53,20665,2,642,28,3706,8.21,60,major_purchase,75.52,57.7,1,2,8.1,MORTGAGE,0
36,53310,7,780,13,19434,7.71,60,home_improvement,391.36,26.3,4,0,41.4,OWN,0
39,56562,1,823,18,47498,6.7,36,home_improvement,1460.09,70.1,2,1,35.8,MORTGAGE,0
28,83395,1,578,6,27652,14.21,60,debt_consolidation,646.43,32.0,6,0,29.4,MORTGAGE,0
27,142772,1,599,8,54272,7.83,48,debt_consolidation,1320.61,25.6,6,0,50.2,RENT,0
51,21616,1,668,33,11863,4.44,60,major_purchase,220.84,85.0,5,0,58.5,RENT,1
58,47501,4,506,40,16613,10.98,36,debt_consolidation,543.73,34.5,6,0,22.8,OWN,1
41,41531,3,681,21,16897,9.97,48,home_improvement,428.31,31.8,5,0,18.7,MORTGAGE,0
54,63592,2,774,31,21351,6.31,36,debt_consolidation,652.54,14.7,7,0,13.200000000000001,MORTGAGE,0
46,55792,2,564,22,30859,14.07,36,debt_consolidation,1055.74,51.4,4,7,8.799999999999999,MORTGAGE,1
34,39674,2,690,11,56537,12.12,60,debt_consolidation,1261.07,60.2,6,0,45.9,OWN,1
46,37626,17,633,28,65505,12.11,60,debt_consolidation,1460.77,85.0,6,1,47.4,RENT,1
60,25087,1,811,36,57907,11.94,60,debt_consolidation,1286.35,85.0,2,5,27.0,OWN,0
41,88673,8,634,23,28806,14.36,24,home_improvement,1387.96,44.1,6,1,36.9,RENT,0
60,64571,6,801,39,14192,9.38,60,debt_consolidation,297.23,30.3,2,3,22.5,OWN,0
21,85021,0,632,0,21123,5.03,48,small_business,486.73,25.2,4,0,37.8,MORTGAGE,0
51,40691,24,741,26,28528,9.17,48,major_purchase,712.23,57.7,1,0,7.9,RENT,0
43,33054,7,700,22,19821,3.38,48,major_purchase,442.06,85.0,6,0,9.9,OWN,0
38,25668,5,668,14,9512,5.75,72,debt_consolidation,156.52,47.6,7,0,16.6,OTHER,0
43,60800,2,616,23,13047,16.48,36,small_business,461.79,34.8,5,2,58.699999999999996,OWN,0
21,26268,4,705,2,33111,5.6,60,small_business,633.99,80.6,5,0,53.2,OWN,1
39,148627,1,644,16,15175,5.3,72,debt_consolidation,246.51,7.9,4,0,46.7,MORTGAGE,0
46,22368,0,624,26,18341,12.68,36,auto,615.16,85.0,6,3,40.699999999999996,MORTGAGE,1
59,57768,9,797,36,17070,13.45,84,debt_consolidation,314.73,32.9,2,2,31.4,MORTGAGE,0
35,125506,11,723,17,9657,3.33,84,major_purchase,129.04,5.6,5,2,12.6,MORTGAGE,0
32,70224,0,731,10,15996,11.0,60,small_business,347.79,46.1,4,0,22.2,RENT,0
35,54469,7,648,17,13089,7.81,36,education,409.02,47.2,4,0,8.5,MORTGAGE,0
52,27416,6,665,30,11111,11.32,48,debt_consolidation,288.9,85.0,7,0,39.0,OWN,0
45,21395,0,660,23,8597,8.79,36,education,272.54,79.4,6,0,35.6,MORTGAGE,0
35,77810,2,706,10,16807,4.54,24,debt_consolidation,733.89,27.4,5,1,26.6,OWN,0
48,121017,2,731,26,27797,8.07,60,small_business,564.55,16.6,8,7,27.500000000000004,RENT,1
43,37672,7,677,24,39513,12.5,48,auto,1050.26,58.5,4,3,32.9,MORTGAGE,1
53,24749,9,616,33,6796,17.77,48,small_business,198.82,85.0,6,1,11.4,RENT,0
33,18000,0,740,9,55519,11.56,36,home_improvement,1832.38,85.0,6,0,45.4,OWN,0
38,27215,4,682,15,22138,8.44,36,education,698.23,85.0,7,1,22.7,OWN,1
37,45789,7,564,14,8193,5.28,84,auto,116.88,65.5,1,1,38.1,RENT,0
24,127960,7,509,5,13594,9.37,60,home_improvement,284.64,29.4,5,2,53.7,MORTGAGE,0
45,73414,0,703,21,4845,8.49,60,home_improvement,99.38,42.2,7,5,11.3,MORTGAGE,0
45,58867,3,613,26,5795,11.22,36,home_improvement,190.33,23.0,6,2,30.8,OWN,0
42,38558,9,714,23,60174,9.76,60,medical,1271.43,39.6,5,1,34.599999999999994,RENT,0
39,34547,1,617,18,11053,11.92,60,debt_consolidation,245.42,69.1,2,1,13.700000000000001,RENT,0
25,113935,2,690,4,26260,8.56,36,home_improvement,829.69,24.9,6,0,53.6,MORTGAGE,0
36,55295,8,649,15,16683,16.84,60,debt_consolidation,413.18,37.7,6,0,54.7,OWN,0
37,18000,0,820,13,18259,12.34,72,home_improvement,360.2,85.0,3,4,69.89999999999999,MORTGAGE,0
32,32724,9,756,13,23332,7.17,36,medical,722.24,85.0,10,0,19.400000000000002,MORTGAGE,0
40,29292,1,787,22,4193,14.0,48,medical,114.58,13.7,4,4,38.0,RENT,0
46,35321,0,681,22,45386,5.38,84,home_improvement,649.62,85.0,5,0,68.5,MORTGAGE,1
64,68716,1,745,43,16829,6.58,60,debt_consolidation,329.91,47.8,4,0,44.5,MORTGAGE,0
44,45960,0,687,23,12670,6.8,60,home_improvement,249.69,41.8,4,0,10.9,RENT,0
45,46811,0,797,21,25024,15.31,24,debt_consolidation,1217.02,68.1,8,1,31.6,MORTGAGE,0
41,107805,5,674,17,10885,9.28,48,debt_consolidation,272.32,8.1,5,1,49.4,OWN,0
21,32277,1,568,2,20863,7.49,60,auto,417.95,85.0,5,0,31.3,MORTGAGE,1
41,150019,13,520,21,16062,10.66,48,debt_consolidation,412.48,20.1,6,0,14.2,OWN,0
42,32768,3,813,24,29664,12.17,84,debt_consolidation,526.35,83.7,5,0,59.5,RENT,1
71,51715,3,718,49,15525,16.36,60,small_business,380.51,18.7,9,0,79.10000000000001,MORTGAGE,0
39,41410,2,723,15,8769,4.01,36,debt_consolidation,258.93,12.6,5,0,2.4,MORTGAGE,0
45,52788,5,799,23,23240,15.05,48,debt_consolidation,647.38,39.5,5,1,19.2,RENT,0
41,64007,3,547,18,14921,3.0,36,major_purchase,433.92,32.6,3,0,39.2,RENT,1
27,63595,0,651,3,5040,13.63,48,major_purchase,136.79,38.9,6,0,16.1,RENT,0
55,31198,10,661,37,20709,14.65,48,debt_consolidation,572.68,63.9,9,2,19.1,OWN,1
51,24990,2,739,26,12379,14.86,36,major_purchase,428.27,85.0,2,1,28.9,RENT,1
51,220114,0,624,32,22971,12.28,60,auto,514.23,13.7,2,7,31.900000000000002,RENT,0
31,36666,3,583,7,9911,5.74,24,major_purchase,438.1,65.6,4,0,15.1,OTHER,0
58,74572,5,583,38,7750,12.99,48,small_business,207.87,32.8,1,1,40.300000000000004,RENT,0
25,18683,1,771,5,41195,5.73,36,education,1248.2,85.0,5,0,15.2,MORTGAGE,0
49,41449,8,620,24,32539,6.25,84,major_purchase,479.26,28.0,5,0,34.9,OWN,0
68,45418,5,635,46,17950,8.17,36,education,563.9,37.9,2,3,17.9,RENT,0
30,65100,5,730,10,24500,8.54,36,medical,773.86,27.1,3,1,35.699999999999996,OTHER,0
35,18000,2,624,13,31802,10.96,60,major_purchase,690.82,85.0,6,0,35.199999999999996,OWN,1
